scenario_id,scenario_display_id,scenario_name,boundary_height,boundary_type,old_subsidy_rin,new_subsidy_rin,required_price_multiplier,required_price_growth_pct,interpretation,evidence_class
S1,S1,1/20 reduction without a floor,26460000,scheduled subsidy boundary,0.01197171,0.01137312,1.05263200,5.26319954,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,26670000,scheduled subsidy boundary,0.01137312,0.01080446,1.05263197,5.26319686,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,26880000,scheduled subsidy boundary,0.01080446,0.01026423,1.05263230,5.26322968,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,27090000,scheduled subsidy boundary,0.01026423,0.00975101,1.05263250,5.26324965,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,27300000,scheduled subsidy boundary,0.00975101,0.00926345,1.05263266,5.26326585,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,27510000,scheduled subsidy boundary,0.00926345,0.00880027,1.05263248,5.26324760,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,27720000,scheduled subsidy boundary,0.00880027,0.00836025,1.05263240,5.26323974,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,27930000,scheduled subsidy boundary,0.00836025,0.00794223,1.05263257,5.26325730,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,28140000,scheduled subsidy boundary,0.00794223,0.00754511,1.05263276,5.26327648,price-only compensation; fees and miner costs held constant,consensus-deterministic
S1,S1,1/20 reduction without a floor,28350000,scheduled subsidy boundary,0.00754511,0.00716785,1.05263224,5.26322398,price-only compensation; fees and miner costs held constant,consensus-deterministic
