scenario_id,scenario_display_id,boundary_height,subsidy_before_rin,subsidy_after_rin,required_additional_fee_base_units_per_block,required_additional_fee_rin_per_block,interpretation
S1,S1,13230000,0.30309069,0.28793615,1515454,0.01515454,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,13440000,0.28793615,0.27353934,1439681,0.01439681,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,13650000,0.27353934,0.25986237,1367697,0.01367697,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,13860000,0.25986237,0.24686925,1299312,0.01299312,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,14070000,0.24686925,0.23452578,1234347,0.01234347,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,14280000,0.23452578,0.22279949,1172629,0.01172629,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,14490000,0.22279949,0.21165951,1113998,0.01113998,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,14700000,0.21165951,0.20107653,1058298,0.01058298,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,14910000,0.20107653,0.19102270,1005383,0.01005383,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,15120000,0.19102270,0.18147156,955114,0.00955114,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,15330000,0.18147156,0.17239798,907358,0.00907358,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,15540000,0.17239798,0.16377808,861990,0.00861990,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,15750000,0.16377808,0.15558917,818891,0.00818891,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,15960000,0.15558917,0.14780971,777946,0.00777946,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,16170000,0.14780971,0.14041922,739049,0.00739049,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,16380000,0.14041922,0.13339825,702097,0.00702097,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,16590000,0.13339825,0.12672833,666992,0.00666992,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,16800000,0.12672833,0.12039191,633642,0.00633642,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,17010000,0.12039191,0.11437231,601960,0.00601960,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,17220000,0.11437231,0.10865369,571862,0.00571862,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,17430000,0.10865369,0.10322100,543269,0.00543269,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,17640000,0.10322100,0.09805995,516105,0.00516105,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,17850000,0.09805995,0.09315695,490300,0.00490300,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,18060000,0.09315695,0.08849910,465785,0.00465785,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,18270000,0.08849910,0.08407414,442496,0.00442496,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,18480000,0.08407414,0.07987043,420371,0.00420371,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,18690000,0.07987043,0.07587690,399353,0.00399353,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,18900000,0.07587690,0.07208305,379385,0.00379385,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,19110000,0.07208305,0.06847889,360416,0.00360416,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,19320000,0.06847889,0.06505494,342395,0.00342395,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,19530000,0.06505494,0.06180219,325275,0.00325275,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,19740000,0.06180219,0.05871208,309011,0.00309011,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,19950000,0.05871208,0.05577647,293561,0.00293561,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,20160000,0.05577647,0.05298764,278883,0.00278883,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,20370000,0.05298764,0.05033825,264939,0.00264939,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,20580000,0.05033825,0.04782133,251692,0.00251692,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,20790000,0.04782133,0.04543026,239107,0.00239107,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,21000000,0.04543026,0.04315874,227152,0.00227152,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,21210000,0.04315874,0.04100080,215794,0.00215794,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,21420000,0.04100080,0.03895076,205004,0.00205004,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,21630000,0.03895076,0.03700322,194754,0.00194754,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,21840000,0.03700322,0.03515305,185017,0.00185017,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,22050000,0.03515305,0.03339539,175766,0.00175766,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,22260000,0.03339539,0.03172562,166977,0.00166977,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,22470000,0.03172562,0.03013933,158629,0.00158629,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,22680000,0.03013933,0.02863236,150697,0.00150697,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,22890000,0.02863236,0.02720074,143162,0.00143162,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,23100000,0.02720074,0.02584070,136004,0.00136004,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,23310000,0.02584070,0.02454866,129204,0.00129204,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,23520000,0.02454866,0.02332122,122744,0.00122744,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,23730000,0.02332122,0.02215515,116607,0.00116607,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,23940000,0.02215515,0.02104739,110776,0.00110776,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,24150000,0.02104739,0.01999502,105237,0.00105237,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,24360000,0.01999502,0.01899526,99976,0.00099976,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,24570000,0.01899526,0.01804549,94977,0.00094977,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,24780000,0.01804549,0.01714321,90228,0.00090228,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,24990000,0.01714321,0.01628604,85717,0.00085717,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,25200000,0.01628604,0.01547173,81431,0.00081431,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,25410000,0.01547173,0.01469814,77359,0.00077359,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,25620000,0.01469814,0.01396323,73491,0.00073491,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,25830000,0.01396323,0.01326506,69817,0.00069817,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,26040000,0.01326506,0.01260180,66326,0.00066326,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,26250000,0.01260180,0.01197171,63009,0.00063009,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,26460000,0.01197171,0.01137312,59859,0.00059859,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,26670000,0.01137312,0.01080446,56866,0.00056866,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,26880000,0.01080446,0.01026423,54023,0.00054023,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,27090000,0.01026423,0.00975101,51322,0.00051322,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,27300000,0.00975101,0.00926345,48756,0.00048756,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,27510000,0.00926345,0.00880027,46318,0.00046318,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,27720000,0.00880027,0.00836025,44002,0.00044002,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,27930000,0.00836025,0.00794223,41802,0.00041802,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,28140000,0.00794223,0.00754511,39712,0.00039712,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,28350000,0.00754511,0.00716785,37726,0.00037726,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,28560000,0.00716785,0.00680945,35840,0.00035840,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,28770000,0.00680945,0.00646897,34048,0.00034048,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,28980000,0.00646897,0.00614552,32345,0.00032345,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,29190000,0.00614552,0.00583824,30728,0.00030728,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,29400000,0.00583824,0.00554632,29192,0.00029192,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,29610000,0.00554632,0.00526900,27732,0.00027732,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,29820000,0.00526900,0.00500555,26345,0.00026345,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,30030000,0.00500555,0.00475527,25028,0.00025028,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,30240000,0.00475527,0.00451750,23777,0.00023777,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,30450000,0.00451750,0.00429162,22588,0.00022588,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,30660000,0.00429162,0.00407703,21459,0.00021459,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,30870000,0.00407703,0.00387317,20386,0.00020386,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,31080000,0.00387317,0.00367951,19366,0.00019366,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,31290000,0.00367951,0.00349553,18398,0.00018398,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,31500000,0.00349553,0.00332075,17478,0.00017478,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,31710000,0.00332075,0.00315471,16604,0.00016604,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,31920000,0.00315471,0.00299697,15774,0.00015774,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,32130000,0.00299697,0.00284712,14985,0.00014985,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,32340000,0.00284712,0.00270476,14236,0.00014236,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,32550000,0.00270476,0.00256952,13524,0.00013524,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,32760000,0.00256952,0.00244104,12848,0.00012848,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,32970000,0.00244104,0.00231898,12206,0.00012206,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,33180000,0.00231898,0.00220303,11595,0.00011595,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,33390000,0.00220303,0.00209287,11016,0.00011016,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,33600000,0.00209287,0.00198822,10465,0.00010465,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,33810000,0.00198822,0.00188880,9942,0.00009942,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,34020000,0.00188880,0.00179436,9444,0.00009444,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,34230000,0.00179436,0.00170464,8972,0.00008972,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,34440000,0.00170464,0.00161940,8524,0.00008524,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,34650000,0.00161940,0.00153843,8097,0.00008097,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,34860000,0.00153843,0.00146150,7693,0.00007693,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,35070000,0.00146150,0.00138842,7308,0.00007308,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,35280000,0.00138842,0.00131899,6943,0.00006943,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,35490000,0.00131899,0.00125304,6595,0.00006595,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,35700000,0.00125304,0.00119038,6266,0.00006266,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,35910000,0.00119038,0.00113086,5952,0.00005952,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,36120000,0.00113086,0.00107431,5655,0.00005655,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,36330000,0.00107431,0.00102059,5372,0.00005372,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,36540000,0.00102059,0.00096956,5103,0.00005103,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,36750000,0.00096956,0.00092108,4848,0.00004848,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,36960000,0.00092108,0.00087502,4606,0.00004606,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,37170000,0.00087502,0.00083126,4376,0.00004376,fee increase needed to hold nominal RIN/block revenue unchanged
S1,S1,37380000,0.00083126,0.00078969,4157,0.00004157,fee increase needed to hold nominal RIN/block revenue unchanged
