scenario_id,scenario_display_id,horizon_years,height,price_path,fee_case,hardware_class,subsidy_base_units,fee_base_units_per_block,fee_share_of_gross_rin_revenue_pct,annual_gross_miner_revenue_rin,normalized_price_index,liquidity_realization_pct,annual_gross_miner_revenue_value_index,annual_realizable_miner_revenue_value_index,normalized_annual_break_even_cost,break_even_price_index,normalized_sustainable_hashrate_index,interpretation
S0,S0,2,1891200,growth,low,high_cost,9765625,0,0.00000000,51328.12500000,1.06090000,80.0,54454.00781250,43563.20625000,0.90000000,0.00002214,47919.52687500,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,base,reference,9765625,10003,0.10232591,51380.70076800,1.06090000,80.0,54509.78544477,43607.82835582,0.70000000,0.00001720,61673.92867466,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,base,efficient,9765625,10003,0.10232591,51380.70076800,1.06090000,80.0,54509.78544477,43607.82835582,0.58000000,0.00001425,74434.05184872,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,base,high_cost,9765625,10003,0.10232591,51380.70076800,1.06090000,80.0,54509.78544477,43607.82835582,0.90000000,0.00002212,47968.61119140,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,high,reference,9765625,290698,2.89069872,52856.03368800,1.06090000,80.0,56074.96613960,44859.97291168,0.70000000,0.00001672,63444.81883223,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,high,efficient,9765625,290698,2.89069872,52856.03368800,1.06090000,80.0,56074.96613960,44859.97291168,0.58000000,0.00001386,76571.33307338,revenue-supported normalized cost units; not measured hashrate
S0,S0,2,1891200,growth,high,high_cost,9765625,290698,2.89069872,52856.03368800,1.06090000,80.0,56074.96613960,44859.97291168,0.90000000,0.00002150,49345.97020285,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,low,reference,76293,0,0.00000000,400.99600800,0.77378094,70.0,310.28306700,217.19814690,0.70000000,0.00251898,307.18023633,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,low,efficient,76293,0,0.00000000,400.99600800,0.77378094,70.0,310.28306700,217.19814690,0.58000000,0.00208716,370.73476799,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,low,high_cost,76293,0,0.00000000,400.99600800,0.77378094,70.0,310.28306700,217.19814690,0.90000000,0.00323869,238.91796159,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,base,reference,76293,10003,11.59149903,453.57177600,0.77378094,70.0,350.96519406,245.67563584,0.70000000,0.00222699,347.45554212,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,base,efficient,76293,10003,11.59149903,453.57177600,0.77378094,70.0,350.96519406,245.67563584,0.58000000,0.00184522,419.34289566,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,base,high_cost,76293,10003,11.59149903,453.57177600,0.77378094,70.0,350.96519406,245.67563584,0.90000000,0.00286328,270.24319942,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,high,reference,76293,290698,79.21120681,1928.90469600,0.77378094,70.0,1492.54968402,1044.78477881,0.70000000,0.00052367,1477.62418718,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,high,efficient,76293,290698,79.21120681,1928.90469600,0.77378094,70.0,1492.54968402,1044.78477881,0.58000000,0.00043389,1783.33953625,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,stress,high,high_cost,76293,290698,79.21120681,1928.90469600,0.77378094,70.0,1492.54968402,1044.78477881,0.90000000,0.00067328,1149.26325669,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,low,reference,76293,0,0.00000000,400.99600800,1.00000000,90.0,400.99600800,360.89640720,0.70000000,0.00195921,510.41063304,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,low,efficient,76293,0,0.00000000,400.99600800,1.00000000,90.0,400.99600800,360.89640720,0.58000000,0.00162334,616.01283298,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,low,high_cost,76293,0,0.00000000,400.99600800,1.00000000,90.0,400.99600800,360.89640720,0.90000000,0.00251898,396.98604792,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,base,reference,76293,10003,11.59149903,453.57177600,1.00000000,90.0,453.57177600,408.21459840,0.70000000,0.00173211,577.33207488,revenue-supported normalized cost units; not measured hashrate
S0,S0,5,3468000,flat,base,efficient,76293,10003,11.59149903,453.57177600,1.00000000,90.0,453.57177600,408.21459840,0.58000000,0.00143517,696.78009037,revenue-supported normalized cost units; not measured hashrate
