scenario_id,scenario_display_id,scenario_name,horizon_label,horizon_years_after_activation,height,subsidy_base_units,subsidy_rin_display,next_year_issuance_base_units,next_year_issuance_rin_display,next_year_issuance_pct_of_scheduled_supply,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,remaining_scheduled_issuance_base_units,remaining_scheduled_issuance_rin_display,maximum_supply_ceiling_remaining_base_units,maximum_supply_ceiling_remaining_rin_display
S2b,S2/b,Bounded 1 RIN phase comparator,constant phase end,256.59570776,135706704,0,0.00000000,0,0.00000000,0.00000000,16799999931750000,167999999.31750000,0,0.00000000,68250000,0.68250000
S2b,S2/b,Bounded 1 RIN phase comparator,terminal height,256.59570776,135706704,0,0.00000000,0,0.00000000,0.00000000,16799999931750000,167999999.31750000,0,0.00000000,68250000,0.68250000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,activation,0.00000000,840000,593750000,5.93750000,299727375000000,2997273.75000000,15.22424762,1968750000000000,19687500.00000000,,,14831250000000000,148312500.00000000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,1 year,1.00000000,1365600,535859375,5.35859375,264957730776000,2649577.30776000,11.67998119,2268477375000000,22684773.75000000,,,14531522625000000,145315226.25000000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,2 years,2.00000000,1891200,459432430,4.59432430,231869574579600,2318695.74579600,9.15237868,2533435105776000,25334351.05776000,,,14266564894224000,142665648.94224000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,5 years,5.00000000,3468000,320838798,3.20838798,158530155716400,1585301.55716400,5.03329838,3149627617164000,31496276.17164000,,,13650372382836000,136503723.82836000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,10 years,10.00000000,6096000,164700054,1.64700054,83044896382800,830448.96382800,2.20176157,3771747934674000,37717479.34674000,,,13028252065326000,130282520.65326000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,25 years,25.00000000,13980000,50000000,0.50000000,26280000000000,262800.00000000,0.59686315,4403019388020000,44030193.88020000,,,12396980611980000,123969806.11980000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,50 years,50.00000000,27120000,50000000,0.50000000,26280000000000,262800.00000000,0.51936560,5060019388020000,50600193.88020000,,,11739980611980000,117399806.11980000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,100 years,100.00000000,53400000,50000000,0.50000000,26280000000000,262800.00000000,0.41229871,6374019388020000,63740193.88020000,,,10425980611980000,104259806.11980000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,200 years,200.00000000,105960000,50000000,0.50000000,26280000000000,262800.00000000,0.29193450,9002019388020000,90020193.88020000,,,7797980611980000,77979806.11980000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,250 years,250.00000000,132240000,50000000,0.50000000,26280000000000,262800.00000000,0.25474942,10316019388020000,103160193.88020000,,,6483980611980000,64839806.11980000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,500 years,500.00000000,263640000,50000000,0.50000000,26280000000000,262800.00000000,0.15563171,16886019388020000,168860193.88020000,,,0,0.00000000
S3,S3,Perpetual 0.5 RIN tail-emission comparator,constant phase start,19.57762557,11130000,50000000,0.50000000,26280000000000,262800.00000000,0.61682620,4260519388020000,42605193.88020000,,,12539480611980000,125394806.11980000
S4,S4,Idealized 113/114 cap-derived geometric schedule,activation,0.00000000,840000,619517543,6.19517543,323334500014800,3233345.00014800,16.42333968,1968750000000000,19687500.00000000,14831228297970000,148312282.97970000,14831250000000000,148312500.00000000
S4,S4,Idealized 113/114 cap-derived geometric schedule,1 year,1.00000000,1365600,608696483,6.08696483,316557804270000,3165578.04270000,13.81091335,2292084500014800,22920845.00014800,14507893797955200,145078937.97955200,14507915499985200,145079154.99985200
S4,S4,Idealized 113/114 cap-derived geometric schedule,2 years,2.00000000,1891200,592818254,5.92818254,309387357891600,3093873.57891600,11.86009126,2608642304284800,26086423.04284800,14191335993685200,141913359.93685200,14191357695715200,141913576.95715200
S4,S4,Idealized 113/114 cap-derived geometric schedule,5 years,5.00000000,3468000,557361171,5.57361171,289825542720000,2898255.42720000,8.24077756,3516968401368000,35169684.01368000,13283009896602000,132830098.96602000,13283031598632000,132830315.98632000
S4,S4,Idealized 113/114 cap-derived geometric schedule,10 years,10.00000000,6096000,497042362,4.97042362,259360972623600,2593609.72623600,5.28899254,4903787835312000,49037878.35312000,11896190462658000,118961904.62658000,11896212164688000,118962121.64688000
S4,S4,Idealized 113/114 cap-derived geometric schedule,25 years,25.00000000,13980000,358770144,3.58770144,186446711114400,1864467.11114400,2.25883908,8254094464320000,82540944.64320000,8545883833650000,85458838.33650000,8545905535680000,85459055.35680000
S4,S4,Idealized 113/114 cap-derived geometric schedule,50 years,50.00000000,27120000,205945615,2.05945615,107377856568000,1073778.56568000,0.90417071,11875838907270000,118758389.07270000,4924139390700000,49241393.90700000,4924161092730000,49241610.92730000
S4,S4,Idealized 113/114 cap-derived geometric schedule,100 years,100.00000000,53400000,68462278,0.68462278,35659629661200,356596.29661200,0.23514245,15165118010040000,151651180.10040000,1634860287930000,16348602.87930000,1634881989960000,16348819.89960000
S4,S4,Idealized 113/114 cap-derived geometric schedule,200 years,200.00000000,105960000,7565654,0.07565654,3931740613200,39317.40613200,0.02365700,16619780288340000,166197802.88340000,180198009630000,1801980.09630000,180219711660000,1802197.11660000
S4,S4,Idealized 113/114 cap-derived geometric schedule,250 years,250.00000000,132240000,2515004,0.02515004,1305036103200,13050.36103200,0.00779584,16740160630290000,167401606.30290000,59817667680000,598176.67680000,59839369710000,598393.69710000
S4,S4,Idealized 113/114 cap-derived geometric schedule,500 years,500.00000000,263640000,10060,0.00010060,5234224800,52.34224800,0.00003116,16799745165930000,167997451.65930000,233132040000,2331.32040000,254834070000,2548.34070000
S4,S4,Idealized 113/114 cap-derived geometric schedule,terminal height,729.56621005,384300000,0,0.00000000,0,0.00000000,0.00000000,16799978297970000,167999782.97970000,0,0.00000000,21702030000,217.02030000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",activation,0.00000000,840000,312500000,3.12500000,164250000000000,1642500.00000000,8.34285714,1968750000000000,19687500.00000000,1312499976900000,13124999.76900000,14831250000000000,148312500.00000000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",1 year,1.00000000,1365600,312500000,3.12500000,164250000000000,1642500.00000000,7.70042194,2133000000000000,21330000.00000000,1148249976900000,11482499.76900000,14667000000000000,146670000.00000000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",2 years,2.00000000,1891200,312500000,3.12500000,164250000000000,1642500.00000000,7.14985309,2297250000000000,22972500.00000000,983999976900000,9839999.76900000,14502750000000000,145027500.00000000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",5 years,5.00000000,3468000,156250000,1.56250000,82125000000000,821250.00000000,3.03324100,2707500000000000,27075000.00000000,573749976900000,5737499.76900000,14092500000000000,140925000.00000000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",10 years,10.00000000,6096000,78125000,0.78125000,41062500000000,410625.00000000,1.35268684,3035625000000000,30356250.00000000,245624976900000,2456249.76900000,13764375000000000,137643750.00000000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",25 years,25.00000000,13980000,4882812,0.04882812,2566405987200,25664.05987200,0.07864260,3263378905980000,32633789.05980000,17871070920000,178710.70920000,13536621094020000,135366210.94020000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",50 years,50.00000000,27120000,76293,0.00076293,40099600800,400.99600800,0.00122217,3281011955340000,32810119.55340000,238021560000,2380.21560000,13518988044660000,135189880.44660000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",100 years,100.00000000,53400000,9,0.00000009,4730400,0.04730400,0.00000014,3281249943840000,32812499.43840000,33060000,0.33060000,13518750056160000,135187500.56160000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",200 years,200.00000000,105960000,0,0.00000000,0,0.00000000,0.00000000,3281249976900000,32812499.76900000,0,0.00000000,13518750023100000,135187500.23100000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",250 years,250.00000000,132240000,0,0.00000000,0,0.00000000,0.00000000,3281249976900000,32812499.76900000,0,0.00000000,13518750023100000,135187500.23100000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",500 years,500.00000000,263640000,0,0.00000000,0,0.00000000,0.00000000,3281249976900000,32812499.76900000,0,0.00000000,13518750023100000,135187500.23100000
S5a,S5/a,"Extended-epoch binary halving, 840,000 anchor",terminal height,115.86757991,61740000,0,0.00000000,0,0.00000000,0.00000000,3281249976900000,32812499.76900000,0,0.00000000,13518750023100000,135187500.23100000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",activation,0.00000000,840000,625000000,6.25000000,328500000000000,3285000.00000000,16.68571429,1968750000000000,19687500.00000000,2493749976900000,24937499.76900000,14831250000000000,148312500.00000000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",1 year,1.00000000,1365600,625000000,6.25000000,328500000000000,3285000.00000000,14.29970617,2297250000000000,22972500.00000000,2165249976900000,21652499.76900000,14502750000000000,145027500.00000000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",2 years,2.00000000,1891200,625000000,6.25000000,328500000000000,3285000.00000000,12.51071123,2625750000000000,26257500.00000000,1836749976900000,18367499.76900000,14174250000000000,141742500.00000000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",5 years,5.00000000,3468000,312500000,3.12500000,164250000000000,1642500.00000000,4.85856905,3380625000000000,33806250.00000000,1081874976900000,10818749.76900000,13419375000000000,134193750.00000000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",10 years,10.00000000,6096000,156250000,1.56250000,82125000000000,821250.00000000,2.05104191,4004062500000000,40040625.00000000,458437476900000,4584374.76900000,12795937500000000,127959375.00000000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",25 years,25.00000000,13980000,9765625,0.09765625,5132812500000,51328.12500000,0.11589601,4428808593750000,44288085.93750000,33691383150000,336913.83150000,12371191406250000,123711914.06250000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",50 years,50.00000000,27120000,152587,0.00152587,80199727200,801.99727200,0.00179737,4462055963430000,44620559.63430000,444013470000,4440.13470000,12337944036570000,123379440.36570000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",100 years,100.00000000,53400000,18,0.00000018,9460800,0.09460800,0.00000021,4462499910360000,44624999.10360000,66540000,0.66540000,12337500089640000,123375000.89640000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",200 years,200.00000000,105960000,0,0.00000000,0,0.00000000,0.00000000,4462499976900000,44624999.76900000,0,0.00000000,12337500023100000,123375000.23100000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",250 years,250.00000000,132240000,0,0.00000000,0,0.00000000,0.00000000,4462499976900000,44624999.76900000,0,0.00000000,12337500023100000,123375000.23100000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",500 years,500.00000000,263640000,0,0.00000000,0,0.00000000,0.00000000,4462499976900000,44624999.76900000,0,0.00000000,12337500023100000,123375000.23100000
S5B,S5/b,"Extended-epoch binary halving, phase-aligned to 630,000",terminal height,119.46347032,63630000,0,0.00000000,0,0.00000000,0.00000000,4462499976900000,44624999.76900000,0,0.00000000,12337500023100000,123375000.23100000
