scenario_id,scenario_display_id,scenario_name,height,subsidy_base_units,subsidy_rin_display,scheduled_issuance_before_height_base_units,scheduled_issuance_before_height_rin_display,note
S4,S4,Idealized 113/114 cap-derived geometric schedule,195299999,178853,0.00178853,16795744953151147,167957449.53151147,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195300000,177284,0.00177284,16795744953330000,167957449.53330000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195300001,177284,0.00177284,16795744953507284,167957449.53507284,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195509999,177284,0.00177284,16795782182792716,167957821.82792716,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195510000,175728,0.00175728,16795782182970000,167957821.82970000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195510001,175728,0.00175728,16795782183145728,167957821.83145728,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195719999,175728,0.00175728,16795819085674272,167958190.85674272,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195720000,174186,0.00174186,16795819085850000,167958190.85850000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195720001,174186,0.00174186,16795819086024186,167958190.86024186,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195929999,174186,0.00174186,16795855664735814,167958556.64735814,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195930000,172658,0.00172658,16795855664910000,167958556.64910000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,195930001,172658,0.00172658,16795855665082658,167958556.65082658,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196139999,172658,0.00172658,16795891922917342,167958919.22917342,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196140000,171143,0.00171143,16795891923090000,167958919.23090000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196140001,171143,0.00171143,16795891923261143,167958919.23261143,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196349999,171143,0.00171143,16795927862948857,167959278.62948857,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196350000,169641,0.00169641,16795927863120000,167959278.63120000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196350001,169641,0.00169641,16795927863289641,167959278.63289641,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196559999,169641,0.00169641,16795963487560359,167959634.87560359,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196560000,168152,0.00168152,16795963487730000,167959634.87730000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196560001,168152,0.00168152,16795963487898152,167959634.87898152,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196769999,168152,0.00168152,16795998799481848,167959987.99481848,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196770000,166676,0.00166676,16795998799650000,167959987.99650000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196770001,166676,0.00166676,16795998799816676,167959987.99816676,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196979999,166676,0.00166676,16796033801443324,167960338.01443324,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196980000,165213,0.00165213,16796033801610000,167960338.01610000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,196980001,165213,0.00165213,16796033801775213,167960338.01775213,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197189999,165213,0.00165213,16796068496174787,167960684.96174787,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197190000,163763,0.00163763,16796068496340000,167960684.96340000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197190001,163763,0.00163763,16796068496503763,167960684.96503763,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197399999,163763,0.00163763,16796102886406237,167961028.86406237,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197400000,162326,0.00162326,16796102886570000,167961028.86570000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197400001,162326,0.00162326,16796102886732326,167961028.86732326,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197609999,162326,0.00162326,16796136974867674,167961369.74867674,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197610000,160902,0.00160902,16796136975030000,167961369.75030000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197610001,160902,0.00160902,16796136975190902,167961369.75190902,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197819999,160902,0.00160902,16796170764289098,167961707.64289098,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197820000,159490,0.00159490,16796170764450000,167961707.64450000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,197820001,159490,0.00159490,16796170764609490,167961707.64609490,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198029999,159490,0.00159490,16796204257190510,167962042.57190510,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198030000,158090,0.00158090,16796204257350000,167962042.57350000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198030001,158090,0.00158090,16796204257508090,167962042.57508090,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198239999,158090,0.00158090,16796237456091910,167962374.56091910,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198240000,156703,0.00156703,16796237456250000,167962374.56250000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198240001,156703,0.00156703,16796237456406703,167962374.56406703,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198449999,156703,0.00156703,16796270363723297,167962703.63723297,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198450000,155328,0.00155328,16796270363880000,167962703.63880000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198450001,155328,0.00155328,16796270364035328,167962703.64035328,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198659999,155328,0.00155328,16796302982604672,167963029.82604672,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198660000,153965,0.00153965,16796302982760000,167963029.82760000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198660001,153965,0.00153965,16796302982913965,167963029.82913965,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198869999,153965,0.00153965,16796335315256035,167963353.15256035,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198870000,152614,0.00152614,16796335315410000,167963353.15410000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,198870001,152614,0.00152614,16796335315562614,167963353.15562614,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199079999,152614,0.00152614,16796367364197386,167963673.64197386,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199080000,151275,0.00151275,16796367364350000,167963673.64350000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199080001,151275,0.00151275,16796367364501275,167963673.64501275,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199289999,151275,0.00151275,16796399131948725,167963991.31948725,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199290000,149948,0.00149948,16796399132100000,167963991.32100000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199290001,149948,0.00149948,16796399132249948,167963991.32249948,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199499999,149948,0.00149948,16796430621030052,167964306.21030052,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199500000,148632,0.00148632,16796430621180000,167964306.21180000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199500001,148632,0.00148632,16796430621328632,167964306.21328632,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199709999,148632,0.00148632,16796461833751368,167964618.33751368,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199710000,147328,0.00147328,16796461833900000,167964618.33900000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199710001,147328,0.00147328,16796461834047328,167964618.34047328,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199919999,147328,0.00147328,16796492772632672,167964927.72632672,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199920000,146035,0.00146035,16796492772780000,167964927.72780000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,199920001,146035,0.00146035,16796492772926035,167964927.72926035,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200129999,146035,0.00146035,16796523439983965,167965234.39983965,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200130000,144753,0.00144753,16796523440130000,167965234.40130000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200130001,144753,0.00144753,16796523440274753,167965234.40274753,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200339999,144753,0.00144753,16796553838115247,167965538.38115247,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200340000,143483,0.00143483,16796553838260000,167965538.38260000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200340001,143483,0.00143483,16796553838403483,167965538.38403483,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200549999,143483,0.00143483,16796583969546517,167965839.69546517,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200550000,142224,0.00142224,16796583969690000,167965839.69690000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200550001,142224,0.00142224,16796583969832224,167965839.69832224,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200759999,142224,0.00142224,16796613836587776,167966138.36587776,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200760000,140976,0.00140976,16796613836730000,167966138.36730000,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200760001,140976,0.00140976,16796613836870976,167966138.36870976,boundary probe
S4,S4,Idealized 113/114 cap-derived geometric schedule,200969999,140976,0.00140976,16796643441549024,167966434.41549024,boundary probe
