scenario_id,scenario_display_id,boundary_height,boundary_type,subsidy_before_rin,subsidy_after_rin,required_additional_fee_rin_per_block,observed_window_days,observed_mean_total_fee_base_units_per_block,observed_median_total_fee_base_units_per_block,required_multiple_of_observed_mean_fee,required_multiple_of_observed_median_fee,median_fee_zero,observed_median_fee_per_non_coinbase_transaction_base_units,required_transactions_at_observed_median_transaction_fee,fee_share_before_boundary_pct,fee_share_after_boundary_with_observed_fees_pct,fee_share_after_boundary_if_revenue_fully_replaced_pct,evidence_class
S1,S1,29190000,scheduled subsidy boundary,0.00614552,0.00583824,0.00030728,90,10002.5482,0.0000,3.0720,,true,99999.0000,1,1.60154918,1.68442254,6.52153577,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,29400000,scheduled subsidy boundary,0.00583824,0.00554632,0.00029192,90,10002.5482,0.0000,2.9185,,true,99999.0000,1,1.68442254,1.77150836,6.60033613,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,29610000,scheduled subsidy boundary,0.00554632,0.00526900,0.00027732,90,10002.5482,0.0000,2.7725,,true,99999.0000,1,1.77150836,1.86301001,6.68300379,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,29820000,scheduled subsidy boundary,0.00526900,0.00500555,0.00026345,90,10002.5482,0.0000,2.6338,,true,99999.0000,1,1.86301001,1.95914217,6.76985951,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,30030000,scheduled subsidy boundary,0.00500555,0.00475527,0.00025028,90,10002.5482,0.0000,2.5022,,true,99999.0000,1,1.95914217,2.06013172,6.86123403,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,30240000,scheduled subsidy boundary,0.00475527,0.00451750,0.00023777,90,10002.5482,0.0000,2.3771,,true,99999.0000,1,2.06013172,2.16621398,6.95725901,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,30450000,scheduled subsidy boundary,0.00451750,0.00429162,0.00022588,90,10002.5482,0.0000,2.2582,,true,99999.0000,1,2.16621398,2.27763108,7.05801156,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,30660000,scheduled subsidy boundary,0.00429162,0.00407703,0.00021459,90,10002.5482,0.0000,2.1454,,true,99999.0000,1,2.27763108,2.39464098,7.16395446,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,30870000,scheduled subsidy boundary,0.00407703,0.00387317,0.00020386,90,10002.5482,0.0000,2.0381,,true,99999.0000,1,2.39464098,2.51750720,7.27511242,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
S1,S1,31080000,scheduled subsidy boundary,0.00387317,0.00367951,0.00019366,90,10002.5482,0.0000,1.9361,,true,99999.0000,1,2.51750720,2.64650201,7.39166959,consensus-deterministic boundary requirement calibrated to derived observed fee distributions
