scenario_id,scenario_display_id,scenario_name,boundary_height,subsidy_before_base_units,subsidy_after_base_units,subsidy_before_rin,subsidy_after_rin,nominal_change_base_units,nominal_revenue_shock_pct,fee_replacement_base_units_per_block,fee_replacement_rin_per_block,boundary_type
S4,S4,Idealized 113/114 cap-derived geometric schedule,170310000,510413,505935,0.00510413,0.00505935,-4478,-0.87732875,4478,0.00004478,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,170520000,505935,501496,0.00505935,0.00501496,-4439,-0.87738543,4439,0.00004439,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,170730000,501496,497096,0.00501496,0.00497096,-4400,-0.87737489,4400,0.00004400,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,170940000,497096,492735,0.00497096,0.00492735,-4361,-0.87729533,4361,0.00004361,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,171150000,492735,488412,0.00492735,0.00488412,-4323,-0.87734786,4323,0.00004323,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,171360000,488412,484127,0.00488412,0.00484127,-4285,-0.87733307,4285,0.00004285,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,171570000,484127,479880,0.00484127,0.00479880,-4247,-0.87724915,4247,0.00004247,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,171780000,479880,475670,0.00479880,0.00475670,-4210,-0.87730266,4210,0.00004210,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,171990000,475670,471497,0.00475670,0.00471497,-4173,-0.87728888,4173,0.00004173,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,172200000,471497,467361,0.00471497,0.00467361,-4136,-0.87720601,4136,0.00004136,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,172410000,467361,463261,0.00467361,0.00463261,-4100,-0.87726618,4100,0.00004100,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,172620000,463261,459197,0.00463261,0.00459197,-4064,-0.87725926,4064,0.00004064,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,172830000,459197,455168,0.00459197,0.00455168,-4029,-0.87740120,4029,0.00004029,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,173040000,455168,451175,0.00455168,0.00451175,-3993,-0.87725851,3993,0.00003993,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,173250000,451175,447217,0.00451175,0.00447217,-3958,-0.87726492,3958,0.00003958,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,173460000,447217,443294,0.00447217,0.00443294,-3923,-0.87720279,3923,0.00003923,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,173670000,443294,439405,0.00443294,0.00439405,-3889,-0.87729588,3889,0.00003889,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,173880000,439405,435550,0.00439405,0.00435550,-3855,-0.87732274,3855,0.00003855,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,174090000,435550,431729,0.00435550,0.00431729,-3821,-0.87728160,3821,0.00003821,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,174300000,431729,427941,0.00431729,0.00427941,-3788,-0.87740226,3788,0.00003788,scheduled subsidy boundary
S4,S4,Idealized 113/114 cap-derived geometric schedule,174510000,427941,424187,0.00427941,0.00424187,-3754,-0.87722373,3754,0.00003754,scheduled subsidy boundary
